Institution Name,Year,Month,Names
Field Museum Library,2013,3,10
Field Museum Library,2013,4,27376
Field Museum Library,2013,2,102068
Field Museum Library,2013,10,23
Field Museum Library,2013,9,457
Field Museum Library,2013,11,505
Field Museum Library,2013,12,1427
Field Museum Library,2013,6,165
Field Museum Library,2013,8,817
Field Museum Library,2013,7,198
Field Museum Library,2013,5,72
Fisher - University of Toronto (archive.org),2013,5,4
Fisher - University of Toronto (archive.org),2013,12,291
Fisher - University of Toronto (archive.org),2013,11,50
Fisher - University of Toronto (archive.org),2013,2,104978
Fisher - University of Toronto (archive.org),2013,3,1
Fisher - University of Toronto (archive.org),2012,2,1
Fisher - University of Toronto (archive.org),2011,12,1
Fisher - University of Toronto (archive.org),2012,1,1420
Fisher - University of Toronto (archive.org),2012,6,37
Fisher - University of Toronto (archive.org),2012,7,194
Fisher - University of Toronto (archive.org),2012,8,934
Fisher - University of Toronto (archive.org),2012,4,2
Fisher - University of Toronto (archive.org),2012,10,2
Fisher - University of Toronto (archive.org),2012,12,6
Fisher - University of Toronto (archive.org),2011,8,2
Fisher - University of Toronto (archive.org),2011,7,2
Fisher - University of Toronto (archive.org),2011,4,21
Fisher - University of Toronto (archive.org),2011,5,84
Fisher - University of Toronto (archive.org),2011,1,1845
Fisher - University of Toronto (archive.org),2010,12,423
Fisher - University of Toronto (archive.org),2011,2,99
Fisher - University of Toronto (archive.org),2011,3,1
Fisher - University of Toronto (archive.org),2010,8,2171
Fisher - University of Toronto (archive.org),2010,9,4078
Fisher - University of Toronto (archive.org),2010,10,563
Fisher - University of Toronto (archive.org),2010,7,453
Fisher - University of Toronto (archive.org),2010,6,908
Fisher - University of Toronto (archive.org),2010,5,23
Fisher - University of Toronto (archive.org),2010,1,16001
Fisher - University of Toronto (archive.org),2010,2,25388
Fisher - University of Toronto (archive.org),2010,3,452
Fisher - University of Toronto (archive.org),2009,12,3101
Fisher - University of Toronto (archive.org),2014,5,13074
Fisher - University of Toronto (archive.org),2014,6,1425
Fisher - University of Toronto (archive.org),2014,4,24
Fisher - University of Toronto (archive.org),2014,1,348
Fisher - University of Toronto (archive.org),2014,2,151
Francis A. Countway Library of Medicine (archive.org),2014,2,30
Francis A. Countway Library of Medicine (archive.org),2014,1,45
Francis A. Countway Library of Medicine (archive.org),2014,3,6
Francis A. Countway Library of Medicine (archive.org),2010,4,86
Francis A. Countway Library of Medicine (archive.org),2010,6,650
Francis A. Countway Library of Medicine (archive.org),2010,7,22
Francis A. Countway Library of Medicine (archive.org),2010,10,1943
Francis A. Countway Library of Medicine (archive.org),2010,11,2910
Francis A. Countway Library of Medicine (archive.org),2010,9,141
Francis A. Countway Library of Medicine (archive.org),2010,8,7545
Francis A. Countway Library of Medicine (archive.org),2011,2,127
Francis A. Countway Library of Medicine (archive.org),2010,12,79
Francis A. Countway Library of Medicine (archive.org),2011,1,467
Francis A. Countway Library of Medicine (archive.org),2011,5,6682
Francis A. Countway Library of Medicine (archive.org),2011,4,1438
Francis A. Countway Library of Medicine (archive.org),2011,7,2525
Francis A. Countway Library of Medicine (archive.org),2011,6,18210
Francis A. Countway Library of Medicine (archive.org),2011,8,13076
Francis A. Countway Library of Medicine (archive.org),2011,9,12243
Francis A. Countway Library of Medicine (archive.org),2011,11,1318
Francis A. Countway Library of Medicine (archive.org),2011,10,4496
Francis A. Countway Library of Medicine (archive.org),2012,12,4
Francis A. Countway Library of Medicine (archive.org),2012,11,285
Francis A. Countway Library of Medicine (archive.org),2012,10,232
Francis A. Countway Library of Medicine (archive.org),2012,9,2395
Francis A. Countway Library of Medicine (archive.org),2012,7,1
Francis A. Countway Library of Medicine (archive.org),2012,6,2066
Francis A. Countway Library of Medicine (archive.org),2012,5,5
Francis A. Countway Library of Medicine (archive.org),2012,1,141
Francis A. Countway Library of Medicine (archive.org),2011,12,308
Francis A. Countway Library of Medicine (archive.org),2012,3,6884
Francis A. Countway Library of Medicine (archive.org),2013,4,5
Francis A. Countway Library of Medicine (archive.org),2013,2,91561
Francis A. Countway Library of Medicine (archive.org),2013,11,63
Francis A. Countway Library of Medicine (archive.org),2013,12,692
Francis A. Countway Library of Medicine (archive.org),2013,5,1
Frost - York University Libraries (archive.org),2013,2,186
Frost - York University Libraries (archive.org),2009,12,32
Gerstein - University of Toronto (archive.org),2009,12,2353987
Gerstein - University of Toronto (archive.org),2010,3,30
Gerstein - University of Toronto (archive.org),2010,2,31963
Gerstein - University of Toronto (archive.org),2010,1,806931
Gerstein - University of Toronto (archive.org),2010,7,36506
Gerstein - University of Toronto (archive.org),2010,6,98811
Gerstein - University of Toronto (archive.org),2010,4,1197
Gerstein - University of Toronto (archive.org),2010,5,68082
Gerstein - University of Toronto (archive.org),2009,11,1468450
Gerstein - University of Toronto (archive.org),2011,10,101
Gerstein - University of Toronto (archive.org),2011,11,37
Gerstein - University of Toronto (archive.org),2011,9,125
Gerstein - University of Toronto (archive.org),2011,8,63
Gerstein - University of Toronto (archive.org),2011,6,52
Gerstein - University of Toronto (archive.org),2011,7,51
Gerstein - University of Toronto (archive.org),2011,4,41
Gerstein - University of Toronto (archive.org),2011,5,92
Gerstein - University of Toronto (archive.org),2011,1,1674
Gerstein - University of Toronto (archive.org),2010,12,48
Gerstein - University of Toronto (archive.org),2011,2,148
Gerstein - University of Toronto (archive.org),2011,3,66
Gerstein - University of Toronto (archive.org),2010,8,2135
Gerstein - University of Toronto (archive.org),2010,9,116
Gerstein - University of Toronto (archive.org),2010,11,49
Gerstein - University of Toronto (archive.org),2010,10,65
Gerstein - University of Toronto (archive.org),2013,2,2132865
Gerstein - University of Toronto (archive.org),2013,4,519
Gerstein - University of Toronto (archive.org),2013,3,58
Gerstein - University of Toronto (archive.org),2013,1,5187
Gerstein - University of Toronto (archive.org),2013,5,645
Gerstein - University of Toronto (archive.org),2013,6,21
Gerstein - University of Toronto (archive.org),2013,12,208
Gerstein - University of Toronto (archive.org),2013,11,6037
Gerstein - University of Toronto (archive.org),2013,9,42439
Gerstein - University of Toronto (archive.org),2013,10,24620
Gerstein - University of Toronto (archive.org),2012,3,19
Gerstein - University of Toronto (archive.org),2012,2,52
Gerstein - University of Toronto (archive.org),2011,12,17
Gerstein - University of Toronto (archive.org),2012,1,40
Gerstein - University of Toronto (archive.org),2012,5,9192
Gerstein - University of Toronto (archive.org),2012,6,8899
Gerstein - University of Toronto (archive.org),2012,7,4660
Gerstein - University of Toronto (archive.org),2012,4,69
Gerstein - University of Toronto (archive.org),2012,8,99
Gerstein - University of Toronto (archive.org),2012,9,64
Gerstein - University of Toronto (archive.org),2012,10,152
Gerstein - University of Toronto (archive.org),2012,11,359
Gerstein - University of Toronto (archive.org),2012,12,66
Gerstein - University of Toronto (archive.org),2014,4,132
Gerstein - University of Toronto (archive.org),2014,1,777
Gerstein - University of Toronto (archive.org),2014,5,108
Harold B. Lee Library (archive.org),2014,6,1216
Harold B. Lee Library (archive.org),2014,1,732
Harold B. Lee Library (archive.org),2014,2,1675
Harold B. Lee Library (archive.org),2014,3,8
Harold B. Lee Library (archive.org),2012,12,1169
Harold B. Lee Library (archive.org),2012,11,5
Harold B. Lee Library (archive.org),2012,10,15
Harold B. Lee Library (archive.org),2012,9,1
Harold B. Lee Library (archive.org),2012,8,1009
Harold B. Lee Library (archive.org),2012,4,85
Harold B. Lee Library (archive.org),2012,7,3145
Harold B. Lee Library (archive.org),2012,6,8
Harold B. Lee Library (archive.org),2012,5,148
Harold B. Lee Library (archive.org),2012,1,778
Harold B. Lee Library (archive.org),2012,2,736
Harold B. Lee Library (archive.org),2012,3,2905
Harold B. Lee Library (archive.org),2013,10,109
Harold B. Lee Library (archive.org),2013,9,2162
Harold B. Lee Library (archive.org),2013,11,9274
Harold B. Lee Library (archive.org),2013,12,1644
Harold B. Lee Library (archive.org),2013,6,48
Harold B. Lee Library (archive.org),2013,7,364
Harold B. Lee Library (archive.org),2013,8,994
Harold B. Lee Library (archive.org),2013,5,22
Harold B. Lee Library (archive.org),2013,3,2
Harold B. Lee Library (archive.org),2013,4,146
Harold B. Lee Library (archive.org),2013,2,26883
Harold B. Lee Library (archive.org),2010,10,2280
Harold B. Lee Library (archive.org),2010,9,419
Harold B. Lee Library (archive.org),2011,3,3818
Harold B. Lee Library (archive.org),2011,2,8830
Harold B. Lee Library (archive.org),2011,5,5467
Harold B. Lee Library (archive.org),2011,4,422
Harold B. Lee Library (archive.org),2011,7,3839
Harold B. Lee Library (archive.org),2011,6,11461
Harold B. Lee Library (archive.org),2011,8,1993
Harold B. Lee Library (archive.org),2011,9,7390
Harold B. Lee Library (archive.org),2011,11,8176
Harold B. Lee Library (archive.org),2011,10,641
Harold B. Lee Library (archive.org),2010,5,695
Harold B. Lee Library (archive.org),2010,4,3694
Harold B. Lee Library (archive.org),2010,6,1712
Harold B. Lee Library (archive.org),2010,7,1668
Harold B. Lee Library (archive.org),2009,12,779
Harvard University Botany Libraries,2010,2,3
Harvard University Botany Libraries,2009,11,1
Harvard University Botany Libraries,2009,9,1452
Harvard University Botany Libraries,2007,10,35
Harvard University Botany Libraries,2007,9,100
Harvard University Botany Libraries,2007,7,3264
Harvard University Botany Libraries,2007,8,569
Harvard University Botany Libraries,2007,11,2186
Harvard University Botany Libraries,2008,2,1
Harvard University Botany Libraries,2011,8,6
Harvard University Botany Libraries,2010,10,2
Harvard University Botany Libraries,2013,2,4128
Harvard University Botany Libraries,2013,4,2
Harvard University Botany Libraries,2013,3,2
Harvard University Botany Libraries,2013,1,37
Harvard University Botany Libraries,2013,12,876
Harvard University Botany Libraries,2013,11,34910
Harvard University Botany Libraries,2013,9,1233
Harvard University Botany Libraries,2013,10,101315
Harvard University Botany Libraries,2012,3,494
Harvard University Botany Libraries,2012,2,4
Harvard University Botany Libraries,2012,5,1
Harvard University Botany Libraries,2012,6,23
Harvard University Botany Libraries,2012,7,26
Harvard University Botany Libraries,2012,4,2
Harvard University Botany Libraries,2012,8,3816
Harvard University Botany Libraries,2012,9,32
Harvard University Botany Libraries,2012,10,716
Harvard University Botany Libraries,2012,11,1255
Harvard University Botany Libraries,2012,12,152
Harvard University Botany Libraries,2014,3,21
Harvard University Botany Libraries,2014,4,49065
Harvard University Botany Libraries,2014,2,18338
Harvard University Botany Libraries,2014,1,212450
Harvard University Botany Libraries,2014,6,299
Harvard University Botany Libraries,2014,5,7409
"Harvard University, MCZ, Ernst Mayr Library",2014,5,1817
"Harvard University, MCZ, Ernst Mayr Library",2014,6,1643
"Harvard University, MCZ, Ernst Mayr Library",2014,1,82983
"Harvard University, MCZ, Ernst Mayr Library",2014,2,11323
"Harvard University, MCZ, Ernst Mayr Library",2014,4,46012
"Harvard University, MCZ, Ernst Mayr Library",2014,3,1530
"Harvard University, MCZ, Ernst Mayr Library",2012,12,2343
"Harvard University, MCZ, Ernst Mayr Library",2012,11,1637
"Harvard University, MCZ, Ernst Mayr Library",2012,10,2719
"Harvard University, MCZ, Ernst Mayr Library",2012,9,782
"Harvard University, MCZ, Ernst Mayr Library",2012,8,68906
"Harvard University, MCZ, Ernst Mayr Library",2012,4,59133
"Harvard University, MCZ, Ernst Mayr Library",2012,7,7520
"Harvard University, MCZ, Ernst Mayr Library",2012,6,1756
"Harvard University, MCZ, Ernst Mayr Library",2012,5,1719
"Harvard University, MCZ, Ernst Mayr Library",2012,2,31096
"Harvard University, MCZ, Ernst Mayr Library",2012,3,84786
"Harvard University, MCZ, Ernst Mayr Library",2012,1,54796
"Harvard University, MCZ, Ernst Mayr Library",2011,12,96693
"Harvard University, MCZ, Ernst Mayr Library",2013,10,37811
"Harvard University, MCZ, Ernst Mayr Library",2013,9,40662
"Harvard University, MCZ, Ernst Mayr Library",2013,11,32942
"Harvard University, MCZ, Ernst Mayr Library",2013,12,5914
"Harvard University, MCZ, Ernst Mayr Library",2013,5,3804
"Harvard University, MCZ, Ernst Mayr Library",2013,8,46142
"Harvard University, MCZ, Ernst Mayr Library",2013,7,173824
"Harvard University, MCZ, Ernst Mayr Library",2013,6,2110
"Harvard University, MCZ, Ernst Mayr Library",2013,1,117175
"Harvard University, MCZ, Ernst Mayr Library",2013,3,736
"Harvard University, MCZ, Ernst Mayr Library",2013,4,2013
"Harvard University, MCZ, Ernst Mayr Library",2013,2,3645727
"Harvard University, MCZ, Ernst Mayr Library",2010,10,230842
"Harvard University, MCZ, Ernst Mayr Library",2010,11,5291
"Harvard University, MCZ, Ernst Mayr Library",2010,9,4660
"Harvard University, MCZ, Ernst Mayr Library",2010,8,4493
"Harvard University, MCZ, Ernst Mayr Library",2011,2,264069
"Harvard University, MCZ, Ernst Mayr Library",2011,3,185381
"Harvard University, MCZ, Ernst Mayr Library",2010,12,214870
"Harvard University, MCZ, Ernst Mayr Library",2011,1,48284
"Harvard University, MCZ, Ernst Mayr Library",2011,8,157446
"Harvard University, MCZ, Ernst Mayr Library",2011,9,59346
"Harvard University, MCZ, Ernst Mayr Library",2011,10,137742
"Harvard University, MCZ, Ernst Mayr Library",2011,11,65910
"Harvard University, MCZ, Ernst Mayr Library",2011,6,7090
"Harvard University, MCZ, Ernst Mayr Library",2011,7,93939
"Harvard University, MCZ, Ernst Mayr Library",2011,4,20784
"Harvard University, MCZ, Ernst Mayr Library",2011,5,4092
"Harvard University, MCZ, Ernst Mayr Library",2008,2,172764
"Harvard University, MCZ, Ernst Mayr Library",2008,6,121683
"Harvard University, MCZ, Ernst Mayr Library",2008,5,660247
"Harvard University, MCZ, Ernst Mayr Library",2008,3,5326
"Harvard University, MCZ, Ernst Mayr Library",2008,4,124178
"Harvard University, MCZ, Ernst Mayr Library",2008,7,161879
"Harvard University, MCZ, Ernst Mayr Library",2008,8,156199
"Harvard University, MCZ, Ernst Mayr Library",2008,9,294571
"Harvard University, MCZ, Ernst Mayr Library",2008,10,274328
"Harvard University, MCZ, Ernst Mayr Library",2008,11,156312
"Harvard University, MCZ, Ernst Mayr Library",2008,12,53043
"Harvard University, MCZ, Ernst Mayr Library",2009,1,264634
"Harvard University, MCZ, Ernst Mayr Library",2009,2,50542
"Harvard University, MCZ, Ernst Mayr Library",2009,9,8793
"Harvard University, MCZ, Ernst Mayr Library",2009,10,117878
"Harvard University, MCZ, Ernst Mayr Library",2009,8,31455
"Harvard University, MCZ, Ernst Mayr Library",2009,7,445174
"Harvard University, MCZ, Ernst Mayr Library",2009,3,247415
"Harvard University, MCZ, Ernst Mayr Library",2009,4,207132
"Harvard University, MCZ, Ernst Mayr Library",2009,5,283501
"Harvard University, MCZ, Ernst Mayr Library",2009,6,236586
"Harvard University, MCZ, Ernst Mayr Library",2009,11,1324
"Harvard University, MCZ, Ernst Mayr Library",2010,2,291350
"Harvard University, MCZ, Ernst Mayr Library",2010,3,8034
"Harvard University, MCZ, Ernst Mayr Library",2010,1,267829
"Harvard University, MCZ, Ernst Mayr Library",2009,12,73164
"Harvard University, MCZ, Ernst Mayr Library",2010,7,207522
"Harvard University, MCZ, Ernst Mayr Library",2010,6,75269
"Harvard University, MCZ, Ernst Mayr Library",2010,4,23920
"Harvard University, MCZ, Ernst Mayr Library",2010,5,265216
"Institute of Botany, CAS",2011,11,557975
"Institute of Botany, CAS",2011,10,15832
"Institute of Botany, CAS",2013,2,197
"Institute of Botany, CAS",2013,4,76
"Institute of Botany, CAS",2013,5,56
"Institute of Botany, CAS",2013,9,55802
"Institute of Botany, CAS",2013,10,5321
"Institute of Botany, CAS",2012,5,1
"Institute of Botany, CAS",2012,6,2
"Institute of Botany, CAS",2012,4,1
"Institute of Botany, CAS",2012,9,125
"Institute of Botany, CAS",2014,4,6704
"Institute of Botany, CAS",2014,5,92929
Internet Archive (archive.org),2014,5,2
Internet Archive (archive.org),2012,9,127
Internet Archive (archive.org),2012,10,1051
Internet Archive (archive.org),2012,11,5872
Internet Archive (archive.org),2012,12,67
Internet Archive (archive.org),2012,4,320
Internet Archive (archive.org),2012,8,96
Internet Archive (archive.org),2012,7,2504
Internet Archive (archive.org),2012,6,27
Internet Archive (archive.org),2012,5,2
Internet Archive (archive.org),2012,3,74
Internet Archive (archive.org),2012,2,101
Internet Archive (archive.org),2013,10,20611
Internet Archive (archive.org),2013,9,4988
Internet Archive (archive.org),2013,12,1756
Internet Archive (archive.org),2013,11,310
Internet Archive (archive.org),2013,5,17
Internet Archive (archive.org),2013,4,627
Internet Archive (archive.org),2013,2,16459
Internet Archive (archive.org),2011,10,24
Internet Archive (archive.org),2011,11,9501
Internet Archive (archive.org),2011,9,2
Internet Archive (archive.org),2011,5,16
Internet Archive (archive.org),2011,4,1922
Internet Archive (archive.org),2011,7,2
Internet Archive (archive.org),2011,6,235
Internet Archive (archive.org),2011,1,3513
Internet Archive (archive.org),2010,12,7
Internet Archive (archive.org),2011,2,2
Internet Archive (archive.org),2010,8,1015
Internet Archive (archive.org),2010,11,1076
Internet Archive (archive.org),2010,10,6174
Internet Archive (archive.org),2010,5,8519
Internet Archive (archive.org),2010,4,1214
Internet Archive (archive.org),2010,6,1
Internet Archive (archive.org),2009,12,2332
Internet Archive (archive.org),2010,1,2001
Internet Archive (archive.org),2010,3,5932
Internet Archive (archive.org),2010,2,3367
Internet Archive (archive.org),2009,11,3
John Adams Library at the Boston Public Library (archive.org),2009,11,9905
John Adams Library at the Boston Public Library (archive.org),2010,2,44
John Adams Library at the Boston Public Library (archive.org),2010,1,243
John Adams Library at the Boston Public Library (archive.org),2009,12,7997
John Adams Library at the Boston Public Library (archive.org),2010,5,31
John Adams Library at the Boston Public Library (archive.org),2010,10,2
John Adams Library at the Boston Public Library (archive.org),2010,11,1
John Adams Library at the Boston Public Library (archive.org),2010,8,960
John Adams Library at the Boston Public Library (archive.org),2010,9,7
John Adams Library at the Boston Public Library (archive.org),2011,2,328
John Adams Library at the Boston Public Library (archive.org),2011,1,49
John Adams Library at the Boston Public Library (archive.org),2011,8,4
John Adams Library at the Boston Public Library (archive.org),2013,2,14618
John Adams Library at the Boston Public Library (archive.org),2013,4,1
John Adams Library at the Boston Public Library (archive.org),2013,5,1
John Adams Library at the Boston Public Library (archive.org),2013,11,180
John Adams Library at the Boston Public Library (archive.org),2013,10,919
John Adams Library at the Boston Public Library (archive.org),2012,5,47
John Adams Library at the Boston Public Library (archive.org),2012,6,19
John Adams Library at the Boston Public Library (archive.org),2012,7,9
John Adams Library at the Boston Public Library (archive.org),2012,8,732
John Adams Library at the Boston Public Library (archive.org),2012,11,1
John Carter Brown Library (archive.org),2012,11,154
John Carter Brown Library (archive.org),2012,12,2365
John Carter Brown Library (archive.org),2012,10,1105
John Carter Brown Library (archive.org),2012,9,227
John Carter Brown Library (archive.org),2012,8,2317
John Carter Brown Library (archive.org),2012,4,265
John Carter Brown Library (archive.org),2012,7,53
John Carter Brown Library (archive.org),2012,3,209
John Carter Brown Library (archive.org),2011,12,132
John Carter Brown Library (archive.org),2012,1,48
John Carter Brown Library (archive.org),2013,9,36
John Carter Brown Library (archive.org),2013,11,8
John Carter Brown Library (archive.org),2013,12,497
John Carter Brown Library (archive.org),2013,5,2829
John Carter Brown Library (archive.org),2013,6,9
John Carter Brown Library (archive.org),2013,7,5
John Carter Brown Library (archive.org),2013,4,11649
John Carter Brown Library (archive.org),2013,3,32
John Carter Brown Library (archive.org),2013,1,47
John Carter Brown Library (archive.org),2013,2,10867
John Carter Brown Library (archive.org),2011,8,29
John Carter Brown Library (archive.org),2011,9,50
John Carter Brown Library (archive.org),2011,11,28
John Carter Brown Library (archive.org),2011,10,90
John Carter Brown Library (archive.org),2011,6,11
John Carter Brown Library (archive.org),2011,7,383
John Carter Brown Library (archive.org),2011,4,10
John Carter Brown Library (archive.org),2011,5,1830
John Carter Brown Library (archive.org),2011,1,13
John Carter Brown Library (archive.org),2010,12,4
John Carter Brown Library (archive.org),2011,3,2692
John Carter Brown Library (archive.org),2010,8,14
John Carter Brown Library (archive.org),2010,5,160
John Carter Brown Library (archive.org),2010,4,1626
John Carter Brown Library (archive.org),2010,6,102
John Carter Brown Library (archive.org),2010,7,1
John Carter Brown Library (archive.org),2014,5,663
John Carter Brown Library (archive.org),2014,6,294
John Carter Brown Library (archive.org),2014,4,518
John Carter Brown Library (archive.org),2014,3,27
John Carter Brown Library (archive.org),2014,2,1075
John Carter Brown Library (archive.org),2014,1,331
"Joseph Palmer Knapp Library, UNC School of Government (archive.org)",2009,12,1
"Joseph Palmer Knapp Library, UNC School of Government (archive.org)",2013,2,3
Kelly - University of Toronto (archive.org),2013,2,17643
Kelly - University of Toronto (archive.org),2013,1,52
Kelly - University of Toronto (archive.org),2013,3,1
Kelly - University of Toronto (archive.org),2013,4,1
Kelly - University of Toronto (archive.org),2013,5,3
Kelly - University of Toronto (archive.org),2013,12,938
Kelly - University of Toronto (archive.org),2013,10,259
Kelly - University of Toronto (archive.org),2012,1,1
Kelly - University of Toronto (archive.org),2012,2,1
Kelly - University of Toronto (archive.org),2012,6,153
Kelly - University of Toronto (archive.org),2012,5,327
Kelly - University of Toronto (archive.org),2012,10,1
Kelly - University of Toronto (archive.org),2012,11,2
Kelly - University of Toronto (archive.org),2009,12,20039
Kelly - University of Toronto (archive.org),2010,1,67
Kelly - University of Toronto (archive.org),2010,6,4
Kelly - University of Toronto (archive.org),2010,5,1
Kelly - University of Toronto (archive.org),2009,11,23764
Kelly - University of Toronto (archive.org),2010,8,1
Kelly - University of Toronto (archive.org),2010,9,2
Kelly - University of Toronto (archive.org),2010,11,1
Kelly - University of Toronto (archive.org),2010,10,4
Kelly - University of Toronto (archive.org),2011,2,4
Kelly - University of Toronto (archive.org),2011,1,1
Kelly - University of Toronto (archive.org),2011,4,198
Kelly - University of Toronto (archive.org),2011,10,2
Kelly - University of Toronto (archive.org),2011,11,1
Kelly - University of Toronto (archive.org),2011,8,3
Kelly - University of Toronto (archive.org),2014,1,48
Lancaster County Historical Society (archive.org),2009,11,240
Lancaster County Historical Society (archive.org),2009,12,1943
Lancaster County Historical Society (archive.org),2012,5,6
Lancaster County Historical Society (archive.org),2012,6,65
Lancaster County Historical Society (archive.org),2013,2,2194
"Law Library, University of North Carolina at Chapel Hill (archive.org)",2013,2,49
"Law Library, University of North Carolina at Chapel Hill (archive.org)",2012,5,1
"Law Library, University of North Carolina at Chapel Hill (archive.org)",2009,12,4
"Law Library, University of North Carolina at Chapel Hill (archive.org)",2009,11,5
Leo Baeck Institute Archives (archive.org),2009,12,1172
Leo Baeck Institute Archives (archive.org),2010,1,815
Leo Baeck Institute Archives (archive.org),2011,5,243
Leo Baeck Institute Archives (archive.org),2011,7,86
Leo Baeck Institute Archives (archive.org),2011,6,312
Leo Baeck Institute Archives (archive.org),2012,5,84
Leo Baeck Institute Archives (archive.org),2012,6,6
Leo Baeck Institute Archives (archive.org),2012,7,11
Leo Baeck Institute Archives (archive.org),2013,2,12641
Leo Baeck Institute Archives (archive.org),2014,5,5
Lewis & Clark Community College / NGRREC,2013,2,459
Lewis & Clark Community College / NGRREC,2012,9,1
Lewis & Clark Community College / NGRREC,2012,6,1
Lewis & Clark Community College / NGRREC,2012,5,3
Lewis & Clark Community College / NGRREC,2010,10,1
Lewis & Clark Community College / NGRREC,2009,12,29
Lewis & Clark Community College / NGRREC,2010,4,493
Lewis & Clark Community College / NGRREC,2010,7,111
Lewis & Clark Community College / NGRREC,2009,11,1201
Library of Congress,2009,11,3850
Library of Congress,2010,7,300
Library of Congress,2010,6,4747
Library of Congress,2010,4,86106
Library of Congress,2010,5,6172
Library of Congress,2009,12,41994
Library of Congress,2010,1,1952
Library of Congress,2010,2,43670
Library of Congress,2010,3,85851
Library of Congress,2010,10,2319
Library of Congress,2010,11,1174
Library of Congress,2010,9,18821
Library of Congress,2010,8,365
Library of Congress,2011,1,35992
Library of Congress,2010,12,14035
Library of Congress,2011,2,14793
Library of Congress,2011,3,2014
Library of Congress,2011,6,1054
Library of Congress,2011,7,98
Library of Congress,2011,5,1312
Library of Congress,2011,4,1447
Library of Congress,2011,8,20
Library of Congress,2011,9,2558
Library of Congress,2011,11,1
Library of Congress,2011,10,1391
Library of Congress,2012,5,84348
Library of Congress,2012,6,2842
Library of Congress,2012,2,7333
Library of Congress,2012,3,11978
Library of Congress,2012,1,14567
Library of Congress,2011,12,943
Library of Congress,2012,9,2170
Library of Congress,2012,10,14158
Library of Congress,2012,11,2623
Library of Congress,2012,12,21
Library of Congress,2012,7,11945
Library of Congress,2012,4,59481
Library of Congress,2012,8,2469
Library of Congress,2013,2,197504
Library of Congress,2013,4,2379
Library of Congress,2013,3,14
Library of Congress,2013,1,226
Library of Congress,2013,10,31564
Library of Congress,2013,9,17348
Library of Congress,2013,12,5070
Library of Congress,2013,11,52408
Library of Congress,2013,5,508
Library of Congress,2013,8,7
Library of Congress,2013,6,5969
Library of Congress,2014,5,5235
Library of Congress,2014,1,60
Library of Congress,2014,2,667
Library of Congress,2014,3,19733
Library of Congress,2014,4,5
Lincoln Financial Collection (archive.org),2014,3,6
Lincoln Financial Collection (archive.org),2013,10,6
Lincoln Financial Collection (archive.org),2013,2,3072
Lincoln Financial Collection (archive.org),2012,4,17
Lincoln Financial Collection (archive.org),2012,7,5
Lincoln Financial Collection (archive.org),2012,6,11
Lincoln Financial Collection (archive.org),2012,5,590
Lincoln Financial Collection (archive.org),2011,4,2505
Lincoln Financial Collection (archive.org),2011,5,66
Lincoln Financial Collection (archive.org),2011,3,530
Lincoln Financial Collection (archive.org),2011,2,411
Lincoln Financial Collection (archive.org),2010,2,1498
Lincoln Financial Collection (archive.org),2010,1,434
Mathematical Sciences - University of Toronto (archive.org),2010,4,110
Mathematical Sciences - University of Toronto (archive.org),2013,2,285
"MBLWHOI Library, Woods Hole",2013,2,4524253
"MBLWHOI Library, Woods Hole",2013,1,7318
"MBLWHOI Library, Woods Hole",2013,3,1723
"MBLWHOI Library, Woods Hole",2013,4,2703
"MBLWHOI Library, Woods Hole",2013,10,513
"MBLWHOI Library, Woods Hole",2013,9,17700
"MBLWHOI Library, Woods Hole",2013,11,62
"MBLWHOI Library, Woods Hole",2013,6,16056
"MBLWHOI Library, Woods Hole",2013,8,67309
"MBLWHOI Library, Woods Hole",2013,7,2897
"MBLWHOI Library, Woods Hole",2013,5,10520
"MBLWHOI Library, Woods Hole",2012,5,17506
"MBLWHOI Library, Woods Hole",2012,6,1034
"MBLWHOI Library, Woods Hole",2011,12,1208
"MBLWHOI Library, Woods Hole",2012,1,613
"MBLWHOI Library, Woods Hole",2012,3,120
"MBLWHOI Library, Woods Hole",2012,2,157
"MBLWHOI Library, Woods Hole",2012,7,863
"MBLWHOI Library, Woods Hole",2012,4,861
"MBLWHOI Library, Woods Hole",2012,8,294
"MBLWHOI Library, Woods Hole",2012,12,287
"MBLWHOI Library, Woods Hole",2012,11,373
"MBLWHOI Library, Woods Hole",2012,10,461
"MBLWHOI Library, Woods Hole",2012,9,334
"MBLWHOI Library, Woods Hole",2010,4,1158
"MBLWHOI Library, Woods Hole",2010,5,476
"MBLWHOI Library, Woods Hole",2010,6,339
"MBLWHOI Library, Woods Hole",2010,7,6448
"MBLWHOI Library, Woods Hole",2010,1,27271
"MBLWHOI Library, Woods Hole",2010,2,2528
"MBLWHOI Library, Woods Hole",2010,3,311
"MBLWHOI Library, Woods Hole",2009,12,100872
"MBLWHOI Library, Woods Hole",2009,11,163038
"MBLWHOI Library, Woods Hole",2009,6,791575
"MBLWHOI Library, Woods Hole",2009,5,346427
"MBLWHOI Library, Woods Hole",2009,4,7185
"MBLWHOI Library, Woods Hole",2009,3,254775
"MBLWHOI Library, Woods Hole",2009,7,94999
"MBLWHOI Library, Woods Hole",2009,8,259326
"MBLWHOI Library, Woods Hole",2009,10,6532
"MBLWHOI Library, Woods Hole",2009,9,60916
"MBLWHOI Library, Woods Hole",2009,2,349153
"MBLWHOI Library, Woods Hole",2009,1,252891
